,Player,Player Name,Team,Age,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,ORB_PCT,DREB,DRB_PCT,AST,AST_PCT,STL,STL_PCT,BLK,BLK_PCT,TOV,TOV_PCT,PF,PTS
55,Klay Thompson,K. Thompson,GSW,34,77,63,29.662337662337663,10.380769448053782,24.002881193152923,0.4324801412180054,5.677645330772273,14.660188689904524,0.3872832369942197,2.6905259589853676,2.9023783967007515,0.9270072992700727,0.7414835320038415,0.016796035807821824,4.639568385966895,0.10205606729096095,3.7286029037907458,0.13800890784768838,1.0592621885769165,0.017411062757322984,0.7414835320038415,0.022640902581807263,2.478673521269984,0.0892938913819947,2.6905259589853676,29.129710185865207
56,Jonathan Kuminga,J. Kuminga,GSW,21,74,46,26.33783783783784,11.320942087753853,21.400552806236448,0.5290023201856149,1.3158112514275309,4.096393518595143,0.3212121212121212,5.536337907,7.4231615882421105,0.7458193980000735,2.2840497194591105,0.05173814281647709,6.529403002366805,0.1436265481493657,4.046740263824294,0.15924811442416664,1.3654645061983812,0.02527711367554621,0.8937585858753041,0.03073531779302371,3.0288485410218637,0.10936211409516297,4.1957000281368435,29.49403333388503
57,Chris Paul,C. Paul,GSW,39,58,18,26.396551724137932,6.510608710309516,14.759486736478369,0.44111349036402564,2.4651819388550593,6.637028296917468,0.3714285714285714,1.3590105560354817,1.643454625903373,0.826923076923077,0.5688881397357831,0.012886416424954203,6.542213606961505,0.1439083415869857,12.420724384231262,0.717310359932832,2.212342765639156,0.04086320277329465,0.1896293799119276,0.006506628756197156,2.401972145551084,0.1343040927405104,3.4133288384146985,16.845409915509578
58,Trayce Jackson-Davis,T. Jackson-Davis,GSW,24,68,16,16.61764705882353,9.977162432,14.216385954895806,0.701807228901526,0.0,0.04282044,0.0,3.1687125321153298,5.652298030259776,0.5606060606060608,5.780759349129317,0.1309453775217138,8.821010562375108,0.1940347835481727,3.511276049,0.2696658773929448,1.2417927490722236,0.036433993305366945,3.254353411,0.17737515323343284,2.098201541535826,0.11159697549421516,4.624607479303455,23.12303739651727
59,Brandin Podziemski,B. Podziemski,GSW,21,74,28,26.594594594594593,6.663060582218726,14.67840283241542,0.4539363484087103,2.2128245476003148,5.753343824,0.38461538459939515,1.229346970889064,1.9423682140047207,0.6329113924050634,2.9012588512981905,0.06571912315095349,7.597364280094413,0.16711837302548407,6.712234461054288,0.4536692369050784,1.4998033044846577,0.02749591123528777,0.3442171518489378,0.011722945147531054,2.163650668764752,0.12226297654773814,2.9996066089693154,16.768292682926827
60,Draymond Green,D. Green,GSW,34,55,52,27.09090909090909,6.007793894782421,12.080536912751676,0.4973118279569894,1.656202641264343,4.189218445550985,0.39534883720930236,1.7536263260445986,2.403117557912968,0.7297297297297298,2.4680666810998058,0.05590648283154256,10.456808833080752,0.23001725530018277,10.78155444901494,0.716196393131418,1.7861008876380169,0.03214471597138547,1.5263043948906687,0.05102877893938972,4.384065815111496,0.25020386981985326,5.390777224507469,15.425416756873783
61,Kevon Looney,K. Looney,GSW,28,74,36,16.135135135135137,5.6330037283190135,9.442373156103097,0.5965665236051501,0.0,0.040525207,0.0,2.269411573999027,3.3635921543199867,0.6746987951807227,5.795104555033229,0.13127032417478585,11.18495704328092,0.2460342501057232,5.389852488247691,0.7534556990709267,1.1347057869995134,0.03428766006548169,1.1752309936780676,0.06597026516611673,2.026260333927703,0.15648472709063593,6.281407035175879,13.535419030637051
62,Jae'Sean Tate,J. Tate,HOU,28,65,9,15.861538461538462,5.078917203068512,10.769185550950828,0.4716157205240174,1.081621256209035,3.621079857743291,0.29870129870129875,1.222702289627605,1.834053434441407,0.6666666666666669,2.8686476795109193,0.06282157614568298,6.395673514975164,0.1431189903471137,3.0097287129294887,0.28808066258552395,1.9751344678599771,0.06091190741266583,0.7054051670928488,0.040866622620316595,1.7399994121623608,0.1306681734708292,6.442700526114687,12.462157951973666
63,Alperen Sengun,A. Sengun,HOU,21,63,63,32.476190476190474,12.48852157943067,23.27083148197518,0.5366598778004072,0.7820136852394917,2.6304096685328355,0.2972972972972973,5.782161794,8.341479309221244,0.6931818181947658,4.336621345418999,0.09496927420263805,9.621138067,0.21529672565604194,7.393583933173376,0.279599956984622,1.8010012144909504,0.027126874979249406,1.0900796824550487,0.030843850158669178,3.838976272993869,0.1247228381374723,5.000148108652508,31.54121863799283
64,Dillon Brooks,D. Brooks,HOU,28,72,72,30.930555555555557,7.162781837231769,16.72041474466261,0.4283854166666667,2.8955926576043325,8.055408145215061,0.3594594594594594,2.699650297315318,3.2003918847205775,0.8435374149659867,1.1538827883686438,0.025269305802325816,4.2018750595310985,0.09402733186375671,2.590793430488086,0.13714733542319746,1.3933678953885509,0.02203580493216366,0.217713734,0.006468052335586417,1.9158808561592575,0.09558152669765825,5.246900981072512,19.92080662938319
65,Jeff Green,Jeff Green,HOU,37,78,6,16.756410256410255,6.1950801047970145,13.577241427279684,0.4562841530054645,1.9661032667918668,5.935406088428276,0.33125000000000004,4.525747142426561,5.527346919848833,0.8187919463087248,1.7064292504231295,0.037369725065350023,4.896710022953329,0.1095759802101771,2.5967401636873713,0.16220224302530356,0.5935406088428277,0.017326877024274483,1.1499849296329787,0.06306473622805787,1.7064292504231295,0.09632297512354467,3.709628805267674,18.882010618812455
66,Jabari Smith Jr.,J. Smith,HOU,21,76,76,31.894736842105264,7.560756075607562,16.661666166616666,0.45378151260504196,2.7602760276027603,7.600760076,0.3631578947372052,3.00030003,3.700370037,0.8108108108108109,2.780278028,0.060886336474735604,9.540954095,0.21350241125150093,2.420242024,0.1399814900408047,1.0401040104010402,0.01595175929803307,1.2201220122012202,0.03515277857277103,1.7801780178017803,0.08869842535380427,4.000400040004001,20.882088208820885
67,Jalen Green,Jalen Green,HOU,22,82,82,31.71951219512195,10.494798038050634,24.829610988780537,0.4226726726726727,3.746810667225892,11.27771369985903,0.33223140495867765,5.275360292661331,6.561578879917981,0.8039772727272726,0.7642748127177192,0.016737136695559495,7.120804352638261,0.15934558370165305,5.424487085,0.17777723472658544,1.2302960399846214,0.018972910864814743,0.5219437745389303,0.01512072592641782,3.5604021763191307,0.11383412401363625,2.143697645427749,30.011767035988484
68,Amen Thompson,Amen Thompson,HOU,21,62,23,22.403225806451612,8.342605318847221,15.568209088727444,0.5358744394618836,0.2792503872417479,2.024565307502673,0.13793103448275856,3.700067631,5.410476252808867,0.6838709677505926,5.166132163972339,0.11313503830940386,9.110543883762023,0.20387091978727376,5.689726640050615,0.35729943007452886,2.7226912756070414,0.059448196466855126,1.326439339398303,0.054406683965433064,3.1415668564696646,0.1489572989076465,4.921788075135808,20.664528655889356
69,Aaron Nesmith,A. Nesmith,IND,24,72,47,27.708333333333332,7.452258965999069,15.022807756855263,0.4960629921259843,3.3121150959995855,7.901760300456155,0.4191616766467065,2.531402251942541,3.241141201085309,0.781021897810219,1.4904517931998136,0.03508153368229655,5.015488574,0.11818105260642632,2.5550602169139665,0.15511001321307524,1.5377677231426652,0.02622720235484459,1.1592402835998552,0.033235350920507827,1.5141097581712393,0.08429038036034138,5.701569558113574,20.748035279940265
70,Obi Toppin,O. Toppin,IND,26,82,28,21.109756097560975,9.052349231180845,15.787078930282254,0.5734024179620035,2.781143438495319,6.898326371954077,0.4031620553359683,2.0994906349425455,2.7266112142110974,0.7700000000000001,2.317619532079433,0.054551007988550865,6.407536353396082,0.1509821784429593,3.4900623541902056,0.21087314662273485,1.2815072706792157,0.02868860880782003,1.172442822110772,0.044121032241068336,1.8813617378056573,0.09971098265895953,3.8990540363218695,22.985332535799554
71,Tyrese Haliburton,T. Haliburton,IND,24,69,68,32.231884057971016,10.610980242354788,22.240614587975635,0.4770992366412214,4.138282294518368,11.353748859319625,0.36448598130841126,4.117060334033657,4.817385030029074,0.8546255506607927,0.7427686169648351,0.017482928581180456,5.008382674391459,0.11801361474208619,15.958914284501605,0.5912507469258107,1.7614227202308947,0.025825547143339598,1.0186541032660597,0.02510604220550166,3.374291717068822,0.12166380999020568,1.5916470363532182,29.47730311
72,Andrew Nembhard,A. Nembhard,IND,24,68,47,24.955882352941178,7.231223589085719,14.51807197501056,0.4980842911877394,1.6965563035931877,4.755920129744839,0.35672514619883033,1.2515579288802203,1.5574943114953856,0.8035714285714284,1.0012463431041765,0.023566852326351247,2.920301834053848,0.0688117098832735,7.787471557476927,0.4577856255313581,1.752181100432309,0.033180100072417985,0.1668743905173627,0.005311949905336336,2.809052240375607,0.15595083688468903,3.977172973997146,17.410561410644846
73,T.J. McConnell,T. McConnell,IND,32,71,4,18.183098591549296,12.064462617302908,21.67947373351704,0.5564924114671165,0.6580615973074313,1.6085950156403872,0.40909090909090917,1.7913899037813406,2.266656612947819,0.7903225806451611,1.3161231946148626,0.0309782714158157,5.666641532369547,0.13352431197039463,14.258001274994342,0.563355867568036,2.632246389229725,0.06841168299536772,0.292471821,0.012777719302151875,3.9483695838445874,0.14829461196243204,2.8881592326270584,26.578376735694583
74,Pascal Siakam,P. Siakam,TOR,30,39,39,34.717948717948715,11.59096380350047,22.218985998710135,0.5216693418940609,1.6405671844954517,5.171353081561748,0.3172413793103449,6.027301177820245,7.953184394401862,0.7578475336322871,1.9258832165816164,0.04292536661040841,6.8475847700679715,0.15927326009688933,6.7762557620464285,0.25329280648429586,1.1412641283446618,0.01597484728982707,0.3566450401077067,0.009038591875050147,2.9601538328939663,0.10321842511068,3.102811848937049,30.84979596931663
