,Player 1,Player 2,Team,Position,MP,PTS,FG,FGA,FG%,3P,3PA,eFG%,FT,FTA,FT%,DRB,DRB%,ORB,ORB%,TRB,TRB%,AST,STL,BLK,TOV,PF,ORTG2,DRTG2,Dist._diff,0-3_x_diff,3-10_x_diff,10-16_x_diff,16-3P_x_diff,3P_x_diff,USG%_diff,Assists,APM,PIE,Compatibility Score,Rank
305,J. Butler,Caleb Martin,MIA,FF,854:07:00,68.78469859685264,73.36520073840663,61.510658516947835,64.67368416263805,56.82198198533837,49.493883724999996,63.506245969664654,42.9148383,56.26214030067087,37.261406425,60.01372848169719,78.8016805633499,74.39376315674852,78.8016805633499,71.64351610417773,73.90456121748184,55.90399203827676,51.55073255,34.23180975,34.990035225,40.154644725,41.70386175,61.24028399559066,26.966292125000002,6.109725675,41.055718475000006,20.615384625,10.434782599999998,32.402234625000006,8.96477,15.625,24.881563775,54.63465759140374,-0.321195469,245.0
306,J. Butler,J. Jaquez,MIA,GF,729:25:00,83.12823559349798,76.96759124299729,46.418444325,78.76716927762153,64.64215888348977,50.12434225,77.94944769411826,73.949807125,66.3284401429329,81.3756335078223,82.48765073082829,69.10682958971238,56.350858397807436,69.10682958971238,78.2112306093671,78.975048160456,83.28872807353041,41.936787949999996,41.307217,36.76755545,31.65680275,46.9625186,61.24028399559066,6.741573025000003,2.3690773,5.571847499999999,21.538461549999997,15.652173925000001,14.944134075,4.9363989250000015,17.1875,33.065936,48.028971274999996,-0.218716508,164.0
307,J. Jaquez,K. Love,MIA,GC,641:00:00,89.79964815007719,87.77476275676928,69.50065426438259,75.24379799887566,81.58587549615109,52.015717900000006,78.7990477955567,64.25137936174848,64.3151801744805,67.73205812493937,67.50503589807421,87.75077376978456,79.9454261594996,87.75077376978456,83.1370164882591,84.04553510343015,78.30968515802974,24.311222875,13.005588075000002,31.434994775000003,34.489416725,40.113281025000006,76.01051916800029,47.752809,18.329177050000002,57.18475073313783,17.84615385,3.913043475,54.469273743016764,77.45041996396944,10.546875,23.320471599999998,42.658941275000004,0.0981048,34.0
308,J. Butler,D. Robinson,MIA,GF,777:14:00,50.7718847,45.746873525,35.765116674999994,51.75465615,59.4287076180555,40.037005525000005,57.55904525959553,35.1560961,40.15606055,49.540624275,51.273869825,43.00530775,39.6958694,43.00530775,42.088800825,42.757284275,40.9668633,64.369325325,64.3022904738141,49.21019705,65.64817063613539,49.13921705,55.7792969480315,55.61797752808989,18.204488774999998,62.17008797653959,34.46153845,20.869565225,72.3463687150838,3.130274449999998,19.53125,35.0917605,57.090011375,-0.239911485,188.0
309,B. Adebayo,J. Jaquez,MIA,GC,1121:18:00,47.436178424999994,45.746873525,39.316225875,50.58019905,46.39507945,46.972049524999996,50.762244450000004,34.186253324999996,47.20247045,36.35183475,45.03111365,43.751065499999996,41.083785150000004,43.751065499999996,43.73072945,44.930350125000004,72.08588151365392,62.76700122968499,46.613772399999995,40.3225959,51.485100675,29.311725,72.91449645951613,13.483146075000002,5.1122194499999996,8.79765395,64.30769230769232,21.739130425,34.776536324999995,8.089708625000004,20.703125,24.339174349999997,66.80666283382077,-0.389085506,299.0
310,J. Butler,T. Rozier,MIA,GF,638:19:00,53.440449716720416,56.55404505031686,81.04175923289945,31.78888555,54.215256352621246,33.732420075,38.018242925,27.3973539,21.03009085,65.91291474055497,23.805742624999997,56.428947547263306,60.51460564987077,56.428947547263306,40.4468722,40.584218449999995,42.211624025,80.39256630894549,57.226883247362096,15.437312725000002,85.47646857539213,50.492539449999995,37.9229649,30.8988764,10.099750624999999,43.401759525,11.384615375000001,11.739130424999999,33.519553075,8.336223925000002,15.625,34.94158455,63.6332775400723,-0.526066346,417.0
311,J. Jaquez,D. Robinson,MIA,GG,958:44:00,55.77544411152316,54.152451375,18.897347874999998,72.89488381304508,45.09171665,46.341591,68.60384657829535,46.7942094,55.25551031644467,50.90498182499999,84.98475320295395,48.2256121,34.144206374999996,48.2256121,63.43387297269105,63.76358733153356,65.8620778692781,46.74376025,46.613772399999995,72.31795998938983,48.6524867,27.932188625,55.610787389875306,48.8764045,20.573566075,56.59824046920821,12.923076924999998,5.217391300000002,57.402234636871505,1.754037624999999,21.09375,29.881958625,62.79810776823963,-0.1810908,137.0
312,B. Adebayo,J. Butler,MIA,FC,1138:45:00,60.77900352895757,61.35723238977108,41.9795578,65.84814125555334,55.51861916897981,53.276634986569206,65.20544617254156,40.005309975,44.1825805,53.17891104986423,37.539806225,31.818941224999996,31.368374875,31.818941224999996,32.237229075,32.6163104,59.63827422490227,81.99489040706005,58.995735053975096,18.992353174999998,51.485100675,49.70227015,72.57784687499999,6.741573025000003,2.7431421499999997,3.2258064500000017,42.769230775,6.086956524999998,19.832402225000003,3.101222825,21.484375,24.883451,42.308187125,-0.466529267,366.0
313,J. Butler,H. Highsmith,MIA,FF,625:48:00,69.1182692246816,56.55404505031686,31.32623015,68.19705545,65.94552169984833,50.7548008,72.00224698404914,64.25137936174848,59.28203025334948,78.64691843124572,67.50503589807421,52.70015871124888,43.85961665,52.70015871124888,61.79194434639371,63.03923205396582,63.37255641152776,37.12981565,71.3776977002661,66.9853993,57.150328662168214,54.84305376875509,63.78864378151011,38.76404495,9.476309225000001,51.90615835,34.46153845,16.086956525,56.00558659217876,13.1845286,8.203125,18.590241250000002,53.125593423124506,-0.108666653,100.0
314,B. Adebayo,T. Rozier,MIA,GF,799:51:00,44.7676134,49.34926405,73.05176348546469,30.614428475,49.001805075,29.949668824999996,34.619842525,18.668768925000002,22.036720825,45.447551675,30.048498825000003,51.208643175,53.575026896431886,51.208643175,38.804943575,39.1355079,44.701145475,78.79024221083088,55.45803144074909,31.434994775000003,68.48078462745778,34.082143200000004,49.141569775,37.640449450000006,7.356608474999998,46.627565975,54.15384615384616,5.652173924999998,53.351955307262564,5.182914249999998,21.484375,37.492263449999996,68.89611423201299,-0.472427546,369.0
