Player,Team,Age,G,MP,FG%,Dist.,2P_x,0-3_x,3-10_x,10-16_x,16-3P_x,3P_x,2P_y,0-3_y,3-10_y,10-16_y,16-3P_y,3P_y,2P_z,3P_z,%FGA,#_x,%3PA,3P%,Att.,#_y
C. Anthony,ORL,23,81,1817,0.435,14.9,0.64,0.152,0.244,0.169,0.075,0.36,0.49,0.647,0.484,0.434,0.316,0.338,0.28,0.892,0.014,9,0.204,0.321,3,0
M. Wagner,ORL,26,80,1415,0.601,7.6,0.792,0.504,0.272,0.005,0.009,0.208,0.673,0.799,0.46,0.333,0.4,0.33,0.796,0.974,0.091,48,0.322,0.324,1,0
W. Carter,ORL,24,55,1406,0.525,12.6,0.598,0.332,0.191,0.059,0.016,0.402,0.626,0.809,0.395,0.44,0.286,0.374,0.736,0.984,0.186,71,0.415,0.338,0,0
G. Harris,ORL,29,54,1297,0.441,19.4,0.31,0.118,0.121,0.037,0.034,0.69,0.598,0.686,0.556,0.636,0.4,0.371,0.727,0.974,0.02,4,0.429,0.409,1,0
J. Ingles,ORL,36,68,1169,0.436,19.9,0.291,0.079,0.198,0.009,0.004,0.709,0.439,0.778,0.311,0,1,0.435,0.448,0.929,0,0,0.199,0.469,2,0
A. Black,ORL,20,69,1164,0.466,13,0.619,0.308,0.162,0.085,0.065,0.381,0.51,0.684,0.4,0.286,0.25,0.394,0.731,0.919,0.109,25,0.5,0.404,0,0
G. Bitadze,ORL,24,62,957,0.603,3.8,0.933,0.689,0.23,0.005,0.01,0.067,0.636,0.715,0.438,0,0,0.143,0.637,1,0.273,51,0.286,0,0,0
J. Isaac,ORL,26,58,914,0.51,12.6,0.608,0.395,0.091,0.056,0.066,0.392,0.598,0.717,0.385,0.375,0.368,0.375,0.654,0.976,0.203,52,0.491,0.455,1,0
M. Fultz,ORL,25,43,910,0.472,7.4,0.945,0.353,0.353,0.187,0.052,0.055,0.487,0.626,0.435,0.361,0.353,0.222,0.42,1,0.043,11,0.722,0.231,1,0
T. Maxey,PHI,23,70,2626,0.45,14.7,0.599,0.222,0.229,0.092,0.056,0.401,0.501,0.667,0.406,0.392,0.413,0.373,0.343,0.599,0.004,6,0.072,0.61,3,0
T. Harris,PHI,31,70,2368,0.487,11.9,0.729,0.268,0.251,0.14,0.069,0.271,0.537,0.686,0.431,0.511,0.394,0.353,0.444,0.956,0.043,39,0.26,0.403,0,0
K. Oubre,PHI,28,68,2055,0.441,12.4,0.63,0.308,0.237,0.068,0.017,0.37,0.517,0.693,0.356,0.35,0.267,0.311,0.552,0.851,0.117,86,0.308,0.33,0,0
P. Reed,PHI,24,82,1590,0.54,7.1,0.881,0.473,0.265,0.094,0.05,0.119,0.563,0.674,0.394,0.511,0.5,0.368,0.643,0.857,0.106,45,0.298,0.294,0,0
N. Batum,PHI,35,57,1475,0.456,18.9,0.282,0.198,0.04,0.028,0.016,0.718,0.6,0.653,0.6,0.429,0.25,0.399,0.619,1,0.032,8,0.534,0.432,1,0
J. Embiid,PHI,29,39,1309,0.529,12.3,0.837,0.224,0.189,0.243,0.18,0.163,0.556,0.749,0.472,0.473,0.516,0.388,0.533,0.833,0.026,19,0.05,0.571,2,0
D. Melton,PHI,25,38,1023,0.386,17.6,0.406,0.181,0.153,0.031,0.042,0.594,0.425,0.538,0.345,0.273,0.333,0.36,0.484,0.792,0.028,10,0.178,0.342,0,0
P. Beverley,PHI,35,47,919,0.432,14.9,0.548,0.154,0.315,0.066,0.012,0.452,0.523,0.703,0.474,0.375,0.333,0.321,0.348,0.771,0.004,1,0.22,0.583,0,0
B. Hield,PHI,31,32,824,0.426,18.9,0.366,0.156,0.099,0.051,0.06,0.634,0.492,0.692,0.303,0.353,0.4,0.389,0.6,0.927,0.003,1,0.204,0.512,0,0
K. Durant,PHO,35,75,2791,0.523,15,0.717,0.125,0.153,0.279,0.16,0.283,0.567,0.827,0.53,0.491,0.53,0.413,0.511,0.815,0.054,75,0.165,0.463,0,0
G. Allen,PHO,28,75,2513,0.499,18.2,0.348,0.192,0.13,0.023,0.001,0.652,0.57,0.687,0.438,0.375,0,0.461,0.57,0.912,0.031,17,0.294,0.473,0,0
J. Nurkic,PHO,29,76,2078,0.51,6.5,0.856,0.504,0.311,0.03,0.011,0.144,0.555,0.63,0.446,0.526,0.286,0.244,0.651,1,0.104,56,0.1,0.111,0,0
D. Booker,PHO,27,68,2447,0.492,15.4,0.68,0.14,0.158,0.231,0.151,0.32,0.552,0.76,0.447,0.551,0.472,0.364,0.373,0.612,0.013,14,0.074,0.452,0,0
E. Gordon,PHO,35,68,1893,0.443,18.4,0.358,0.175,0.149,0.026,0.008,0.642,0.561,0.731,0.391,0.5,0.2,0.378,0.653,0.933,0.002,1,0.202,0.413,1,0
B. Beal,PHO,30,53,1767,0.513,13.5,0.68,0.233,0.193,0.132,0.122,0.32,0.552,0.725,0.472,0.474,0.433,0.43,0.442,0.861,0.034,22,0.311,0.438,0,0
D. Eubanks,PHO,26,75,1169,0.601,4.3,0.988,0.506,0.403,0.055,0.024,0.012,0.596,0.742,0.49,0.286,0,1,0.805,1,0.336,66,1,1,0,0
J. Okogie,PHO,25,60,960,0.417,12.7,0.544,0.35,0.16,0.029,0.005,0.456,0.509,0.569,0.394,0.5,0,0.309,0.632,0.966,0.068,13,0.638,0.3,0,0
R. O'Neale,PHO,30,30,752,0.411,20.5,0.266,0.126,0.117,0.014,0.009,0.734,0.509,0.741,0.28,0.333,0.5,0.376,0.655,0.949,0.005,1,0.191,0.433,1,0
J. Grant,POR,29,54,1830,0.451,13.2,0.675,0.214,0.255,0.096,0.109,0.325,0.474,0.599,0.406,0.415,0.441,0.402,0.445,0.973,0.028,18,0.333,0.467,0,0
D. Ayton,POR,25,55,1784,0.57,8.9,0.987,0.255,0.308,0.268,0.155,0.013,0.576,0.764,0.541,0.453,0.552,0.1,0.749,1,0.117,80,0.4,0.25,1,0
S. Henderson,POR,19,62,1765,0.385,14,0.664,0.237,0.177,0.167,0.083,0.336,0.416,0.503,0.312,0.451,0.318,0.325,0.277,0.598,0.024,14,0.123,0.333,4,0
T. Camara,POR,23,70,1739,0.45,11.6,0.607,0.352,0.224,0.023,0.009,0.393,0.523,0.643,0.367,0.3,0.25,0.337,0.504,1,0.068,24,0.448,0.351,0,0
J. Walker,POR,21,72,1700,0.46,9.8,0.727,0.393,0.263,0.049,0.022,0.273,0.522,0.67,0.358,0.2,0.545,0.295,0.617,1,0.055,17,0.446,0.29,2,0
A. Simons,POR,24,46,1582,0.43,17.1,0.516,0.14,0.183,0.105,0.088,0.484,0.472,0.658,0.392,0.477,0.338,0.385,0.162,0.622,0.018,14,0.077,0.29,0,0
M. Thybulle,POR,26,65,1487,0.397,19.3,0.271,0.132,0.12,0.013,0.006,0.729,0.535,0.643,0.421,0.75,0,0.346,0.63,1,0.025,8,0.385,0.382,1,0
D. Reath,POR,27,68,1214,0.461,14.5,0.509,0.263,0.218,0.022,0.006,0.491,0.559,0.687,0.413,0.545,0.333,0.359,0.697,0.989,0.052,23,0.18,0.455,0,0
M. Brogdon,POR,31,39,1121,0.44,15.4,0.599,0.206,0.157,0.117,0.119,0.401,0.458,0.608,0.385,0.431,0.322,0.412,0.257,0.756,0.002,0,0.121,0.5,0,0
