Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Year/Year,,0.00%,1.20%,1.70%,-0.002,-11.20%,-9.90%,-0.006,9.00%,12.20%,-0.016,-2.40%,-0.70%,-0.014,15.30%,1.50%,4.70%,-1.80%,-2.70%,16.70%,-12.10%,-9.00%,-1.00%
Opponent,82,19830,3453,7415,0.466,1088,3030,0.359,2365,4385,0.539,1449,1840,0.788,892,2627,3519,2187,633,407,1067,1471,9443
Opponent/G,,241.8,42.1,90.4,0.466,13.3,37,0.359,28.8,53.5,0.539,17.7,22.4,0.788,10.9,32,42.9,26.7,7.7,5,13,17.9,115.2
Lg Rank,,7,18,22,9,21,25,11,16,13,10,22,22,18,18,8,12,16,20,15,23,24,18
Year/Year,,0.00%,-0.70%,-0.10%,-0.003,2.60%,3.90%,-0.005,-2.20%,-2.70%,0.003,-8.80%,-11.00%,0.019,1.40%,-1.70%,-1.00%,3.60%,-2.00%,24.80%,-9.00%,-2.60%,-1.70%
HOU,82,19855,3425,7459,0.459,1043,2964,0.352,2382,4495,0.53,1482,1916,0.773,940,2787,3727,2035,639,375,1045,1702,9375
Team/G,,242.1,41.8,91,0.459,12.7,36.1,0.352,29,54.8,0.53,18.1,23.4,0.773,11.5,34,45.5,24.8,7.8,4.6,12.7,20.8,114.3
Lg Rank,,3,19,5,27,14,12,23,17,11,23,9,5,20,6,6,3,25,8,24,8,29,16
Year/Year,,0.50%,2.90%,2.40%,0.002,21.80%,13.20%,0.025,-3.70%,-3.70%,0,-5.40%,-7.80%,0.019,-14.50%,3.40%,-1.80%,10.90%,6.50%,0.30%,-21.50%,1.40%,3.20%
Opponent,82,19855,3344,7226,0.463,1012,2904,0.348,2332,4322,0.54,1583,2065,0.767,878,2803,3681,1997,597,482,1132,1609,9283
Opponent/G,,242.1,40.8,88.1,0.463,12.3,35.4,0.348,28.4,52.7,0.54,19.3,25.2,0.767,10.7,34.2,44.9,24.4,7.3,5.9,13.8,19.6,113.2
Lg Rank,,3,10,14,5,9,16,1,10,9,11,28,29,2,17,26,24,2,14,24,14,6,14
Year/Year,,0.50%,-3.90%,0.00%,-0.019,-14.90%,-8.80%,-0.025,1.80%,6.90%,-0.027,0.40%,4.00%,-0.027,2.00%,10.20%,8.10%,-6.80%,-16.90%,-5.30%,4.90%,-4.90%,-4.50%
IND,82,19705,3855,7599,0.507,1082,2891,0.374,2773,4708,0.589,1318,1685,0.782,827,2578,3405,2522,631,481,1059,1756,10110
Team/G,,240.3,47,92.7,0.507,13.2,35.3,0.374,33.8,57.4,0.589,16.1,20.5,0.782,10.1,31.4,41.5,30.8,7.7,5.9,12.9,21.4,123.3
Lg Rank,,26,1,1,1,11,15,9,1,3,1,21,22,13,20,28,28,1,11,8,9,30,1
